This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19940826   ,-0.88   ,-0.30   ,-0.26    ,0.02
19940829    ,0.88   ,-0.39    ,0.06    ,0.02
19940830    ,0.18   ,-0.07   ,-0.01    ,0.02
19940831   ,-0.09   ,-0.02    ,0.02    ,0.02
19940901    ,0.07    ,0.23   ,-0.02    ,0.02
19940902    ,0.77   ,-0.11    ,0.44    ,0.02
19940905   ,-0.99    ,0.69   ,-0.04    ,0.02
19940906    ,0.06    ,0.03   ,-0.04    ,0.02
19940907   ,-1.23    ,0.58    ,0.16    ,0.02
19940908   ,-0.28    ,0.09   ,-0.04    ,0.02
19940909    ,0.43    ,0.25    ,0.04    ,0.02
19940912   ,-0.32   ,-0.06   ,-0.31    ,0.02
19940913    ,0.35   ,-0.48    ,0.06    ,0.02
19940914   ,-0.72    ,0.27   ,-0.13    ,0.02
19940915   ,-0.06   ,-0.14    ,0.19    ,0.02
19940916    ,0.03    ,0.30   ,-0.02    ,0.02
19940919   ,-0.40    ,0.01   ,-0.16    ,0.02
19940920    ,0.65   ,-0.49   ,-0.20    ,0.02
19940921   ,-0.13   ,-0.13    ,0.00    ,0.02
19940922   ,-0.37    ,0.00    ,0.04    ,0.02
19940923    ,0.27   ,-0.17    ,0.09    ,0.02
19940926   ,-0.83    ,0.25    ,0.04    ,0.02
19940927    ,0.09    ,0.25    ,0.12    ,0.02
19940928   ,-0.24   ,-0.39    ,0.04    ,0.02
19940929    ,0.11    ,0.06   ,-0.01    ,0.02
19940930   ,-0.42    ,0.24    ,0.03    ,0.02
19941003   ,-0.58    ,0.16   ,-0.03    ,0.02
19941004   ,-0.10   ,-0.03    ,0.28    ,0.02
19941005   ,-0.36   ,-0.21   ,-0.38    ,0.02
19941006   ,-0.19   ,-0.10    ,0.10    ,0.02
19941007   ,-0.44   ,-0.06    ,0.27    ,0.02
19941010    ,0.70   ,-0.62    ,0.30    ,0.02
19941011    ,0.58   ,-0.42   ,-0.12    ,0.02
19941012    ,1.06   ,-0.38   ,-0.30    ,0.02
19941013    ,0.95   ,-0.34    ,0.22    ,0.02
19941014    ,0.24    ,0.42    ,0.19    ,0.02
19941017    ,0.58    ,0.33    ,0.17    ,0.02
19941018   ,-0.39    ,0.28   ,-0.06    ,0.02
19941019   ,-0.20    ,0.26   ,-0.11    ,0.02
19941020    ,0.68   ,-0.40   ,-0.09    ,0.02
19941021   ,-0.95    ,0.38    ,0.01    ,0.02
19941024    ,0.17   ,-0.04    ,0.24    ,0.02
19941025   ,-0.65    ,0.24   ,-0.21    ,0.02
19941026    ,0.17   ,-0.08    ,0.17    ,0.02
19941027   ,-0.01   ,-0.33   ,-0.02    ,0.02
19941028    ,0.07   ,-0.45    ,0.18    ,0.02
19941031    ,1.19   ,-0.55   ,-0.06    ,0.02
19941101    ,0.04    ,0.17    ,0.18    ,0.02
19941102   ,-1.57    ,0.70   ,-0.23    ,0.02
19941103    ,0.05   ,-0.34    ,0.08    ,0.02
19941104    ,0.25   ,-0.08    ,0.16    ,0.02
19941107   ,-0.86    ,0.31    ,0.02    ,0.02
19941108    ,0.14   ,-0.19    ,0.01    ,0.02
19941109   ,-0.92   ,-0.13    ,0.15    ,0.02
19941110   ,-0.39    ,0.01    ,0.48    ,0.02
19941111   ,-0.33   ,-0.12    ,0.02    ,0.02
19941114   ,-0.50   ,-0.11   ,-0.12    ,0.02
19941115    ,0.10   ,-0.41   ,-0.12    ,0.02
19941116    ,0.25    ,0.02    ,0.04    ,0.02
19941117   ,-0.13    ,0.10    ,0.05    ,0.02
19941118   ,-0.47    ,0.13    ,0.13    ,0.02
19941121   ,-0.26    ,0.06    ,0.13    ,0.02
19941122   ,-0.96    ,0.17   ,-0.11    ,0.02
19941123   ,-0.93   ,-0.11    ,0.08    ,0.02
19941124   ,-0.39   ,-0.19    ,0.28    ,0.02
19941125   ,-0.16   ,-0.04   ,-0.03    ,0.02
19941128    ,0.23   ,-0.19   ,-0.21    ,0.02
19941129    ,0.13   ,-0.23   ,-0.35    ,0.02
19941130    ,0.69   ,-0.50    ,0.04    ,0.02
19941201   ,-0.49    ,0.24    ,0.04    ,0.02
19941202   ,-1.04    ,0.27    ,0.20    ,0.02
19941205    ,0.95   ,-0.53    ,0.19    ,0.02
19941206   ,-0.05   ,-0.11   ,-0.02    ,0.02
19941207   ,-0.26    ,0.12   ,-0.07    ,0.02
19941208   ,-0.82    ,0.06   ,-0.03    ,0.02
19941209   ,-0.78    ,0.31   ,-0.02    ,0.02
19941212   ,-0.31    ,0.16   ,-0.35    ,0.02
19941213   ,-0.34   ,-0.10    ,0.04    ,0.02
19941214    ,0.36   ,-0.24   ,-0.16    ,0.02
19941215    ,0.61   ,-0.29   ,-0.21    ,0.02
19941216    ,0.09   ,-0.20    ,0.05    ,0.02
19941219    ,0.38   ,-0.31    ,0.00    ,0.02
19941220    ,0.40   ,-0.25   ,-0.21    ,0.02
19941221   ,-0.43   ,-0.14    ,0.04    ,0.02
19941222    ,1.33   ,-0.53   ,-0.19    ,0.02
19941223   ,-0.11    ,0.12    ,0.03    ,0.02
19941226    ,0.28    ,0.02    ,0.04    ,0.02
19941227    ,0.06    ,0.23    ,0.20    ,0.02
19941228    ,1.10    ,0.29    ,0.08    ,0.02
19941229   ,-0.63    ,0.27   ,-0.37    ,0.02
19941230    ,0.42    ,0.20    ,0.11    ,0.02
19950102   ,-0.51    ,0.12    ,0.02    ,0.02
19950103   ,-0.33    ,0.23    ,0.14    ,0.02
19950104   ,-0.56    ,0.27    ,0.13    ,0.02
19950105   ,-0.06    ,0.20   ,-0.12    ,0.02
19950106   ,-0.97    ,0.03   ,-0.02    ,0.02
19950109    ,0.75   ,-0.03    ,0.12    ,0.02
19950110   ,-0.09   ,-0.08   ,-0.12    ,0.02
19950111    ,0.01   ,-0.21   ,-0.08    ,0.02
19950112    ,0.40    ,0.05   ,-0.02    ,0.02
19950113   ,-0.36   ,-0.06    ,0.19    ,0.02
19950116    ,0.54   ,-0.34    ,0.31    ,0.02
19950117   ,-0.89    ,0.51   ,-0.06    ,0.02
19950118   ,-0.28    ,0.10    ,0.15    ,0.02
19950119   ,-0.09    ,0.38    ,0.16    ,0.02
19950120   ,-1.27    ,0.68    ,0.25    ,0.02
19950123   ,-3.07    ,1.67    ,0.44    ,0.02
19950124    ,0.86   ,-0.71   ,-0.13    ,0.02
19950125    ,0.51   ,-0.23   ,-0.15    ,0.02
19950126   ,-0.06    ,0.05    ,0.35    ,0.02
19950127   ,-0.05    ,0.04    ,0.11    ,0.02
19950130    ,2.13   ,-1.37   ,-1.10    ,0.02
19950131   ,-1.26    ,0.25   ,-0.44    ,0.02
19950201    ,0.60   ,-0.46    ,0.23    ,0.02
19950202   ,-0.28    ,0.20    ,0.07    ,0.02
19950203   ,-0.39   ,-0.28   ,-0.04    ,0.02
19950206    ,0.72   ,-0.55   ,-0.01    ,0.02
19950207   ,-0.46    ,0.13   ,-0.11    ,0.02
19950208   ,-0.50    ,0.49    ,0.41    ,0.02
19950209    ,0.04    ,0.11    ,0.10    ,0.02
19950210    ,0.67   ,-0.43   ,-0.29    ,0.02
19950213   ,-0.24    ,0.31    ,0.01    ,0.02
19950214   ,-0.18    ,0.27    ,0.40    ,0.02
19950215   ,-0.31    ,0.17    ,0.12    ,0.02
19950216    ,0.09    ,0.33   ,-0.16    ,0.02
19950217    ,0.56   ,-0.41    ,0.02    ,0.02
19950220   ,-0.38    ,0.30    ,0.02    ,0.02
19950221    ,0.50   ,-0.29   ,-0.10    ,0.02
19950222   ,-0.21   ,-0.06   ,-0.21    ,0.02
19950223    ,0.07    ,0.10    ,0.16    ,0.02
19950224   ,-0.58    ,0.51   ,-0.06    ,0.02
19950227   ,-2.18    ,1.00    ,0.03    ,0.02
19950228    ,1.22   ,-0.78   ,-0.08    ,0.02
19950301   ,-0.38    ,0.29    ,0.17    ,0.02
19950302    ,2.07   ,-0.99   ,-0.18    ,0.02
19950303    ,1.02   ,-0.16   ,-0.47    ,0.02
19950306    ,0.46   ,-0.15    ,0.04    ,0.02
19950307    ,1.26    ,0.03   ,-0.23    ,0.02
19950308   ,-2.15    ,0.40   ,-0.20    ,0.02
19950309    ,0.13   ,-0.10   ,-0.39    ,0.02
19950310   ,-0.93    ,0.11   ,-0.02    ,0.02
19950313    ,0.17   ,-0.07   ,-0.32    ,0.02
19950314   ,-0.35   ,-0.05    ,0.27    ,0.02
19950315    ,1.85   ,-0.76   ,-0.06    ,0.02
19950316   ,-1.14    ,0.19    ,0.08    ,0.02
19950317    ,0.30   ,-0.19   ,-0.27    ,0.02
19950320   ,-0.64   ,-0.08    ,0.01    ,0.02
19950321    ,0.05   ,-0.02   ,-0.02    ,0.02
19950322   ,-0.32    ,0.24   ,-0.05    ,0.02
19950323   ,-0.41   ,-0.01   ,-0.09    ,0.02
19950324   ,-0.68   ,-0.02    ,0.45    ,0.02
19950327    ,1.14   ,-0.70    ,0.15    ,0.02
19950328    ,2.63   ,-1.50   ,-1.06    ,0.02
19950329    ,0.14    ,0.30    ,0.15    ,0.02
19950330   ,-0.49   ,-0.22    ,0.12    ,0.02
19950331    ,1.76    ,0.41    ,0.39    ,0.02
19950403   ,-1.66    ,1.16    ,0.13    ,0.02
19950404    ,0.74   ,-0.97    ,0.15    ,0.02
19950405    ,0.56   ,-0.14   ,-0.09    ,0.02
19950406    ,0.68   ,-0.20   ,-0.06    ,0.02
19950407    ,0.50   ,-0.30   ,-0.17    ,0.02
19950410   ,-0.09   ,-0.89   ,-0.53    ,0.02
19950411    ,0.61   ,-0.17   ,-0.10    ,0.02
19950412    ,0.13    ,0.04    ,0.11    ,0.02
19950413    ,0.76    ,0.00    ,0.15    ,0.02
19950414   ,-0.70    ,0.60    ,0.25    ,0.02
19950417    ,1.90   ,-0.80   ,-0.15    ,0.02
19950418    ,0.46   ,-0.06   ,-0.01    ,0.02
19950419   ,-0.86   ,-0.19   ,-0.59    ,0.02
19950420   ,-0.66    ,0.05    ,0.08    ,0.02
19950421    ,1.59   ,-0.66    ,0.26    ,0.02
19950424   ,-0.72    ,0.60    ,0.06    ,0.02
19950425    ,1.38   ,-0.57   ,-0.06    ,0.02
19950426   ,-1.18    ,0.64    ,0.09    ,0.02
19950427    ,0.03   ,-0.15   ,-0.27    ,0.02
19950428   ,-0.48    ,0.30    ,0.10    ,0.02
19950501    ,0.50   ,-0.23   ,-0.29    ,0.02
19950502    ,1.09   ,-0.54   ,-0.19    ,0.02
19950503    ,0.21   ,-0.03    ,0.15    ,0.02
19950504    ,0.12    ,0.18    ,0.08    ,0.02
19950505   ,-0.33    ,0.21    ,0.06    ,0.02
19950508    ,0.77   ,-0.17    ,0.05    ,0.02
19950509   ,-0.42    ,0.04    ,0.13    ,0.02
19950510   ,-0.45    ,0.26   ,-0.07    ,0.02
19950511   ,-2.42    ,0.72   ,-0.46    ,0.02
19950512   ,-0.50    ,0.20    ,0.01    ,0.02
19950515    ,0.54   ,-0.16    ,0.37    ,0.02
19950516   ,-0.80    ,0.36   ,-0.03    ,0.02
19950517   ,-0.04   ,-0.12   ,-0.27    ,0.02
19950518   ,-0.30    ,0.26    ,0.16    ,0.02
19950519   ,-1.08    ,0.45    ,0.08    ,0.02
19950522   ,-0.62    ,0.27    ,0.24    ,0.02
19950523    ,0.23   ,-0.34   ,-0.33    ,0.02
19950524    ,0.70   ,-0.50    ,0.15    ,0.02
19950525    ,1.87   ,-0.01    ,0.12    ,0.02
19950526    ,1.18   ,-0.30    ,0.05    ,0.02
19950529   ,-0.56    ,0.06    ,0.07    ,0.02
19950530    ,0.14   ,-0.25    ,0.12    ,0.02
19950531   ,-1.72    ,0.53   ,-0.03    ,0.02
19950601    ,0.73   ,-0.20   ,-0.02    ,0.02
19950602    ,0.77   ,-0.46   ,-0.09    ,0.02
19950605   ,-0.01   ,-0.17   ,-0.22    ,0.02
19950606   ,-0.51    ,0.30    ,0.25    ,0.02
19950607   ,-0.41   ,-0.08   ,-0.16    ,0.02
19950608   ,-0.23    ,0.44    ,0.04    ,0.02
19950609   ,-1.01    ,0.74   ,-0.07    ,0.02
19950612   ,-0.57   ,-0.04    ,0.00    ,0.02
19950613   ,-0.92    ,0.04   ,-0.07    ,0.02
19950614    ,0.62   ,-0.16   ,-0.03    ,0.02
19950615    ,0.21   ,-0.65   ,-0.05    ,0.02
19950616   ,-0.16    ,0.56   ,-0.10    ,0.02
19950619    ,0.33   ,-0.26    ,0.08    ,0.02
19950620   ,-0.05    ,0.25    ,0.15    ,0.02
19950621    ,1.02   ,-0.74    ,0.04    ,0.02
19950622   ,-0.49   ,-0.10    ,0.04    ,0.02
19950623    ,1.04   ,-0.34    ,0.12    ,0.02
19950626   ,-0.58    ,0.33    ,0.41    ,0.02
19950627   ,-0.61    ,0.30    ,0.10    ,0.02
19950628   ,-1.67    ,0.76    ,0.12    ,0.02
19950629    ,0.98    ,0.00    ,0.17    ,0.02
19950630   ,-0.17    ,0.16   ,-0.02    ,0.02
19950703   ,-0.02   ,-0.32    ,0.17    ,0.02
19950704    ,0.66   ,-0.40   ,-0.07    ,0.02
19950705    ,0.52   ,-0.01   ,-0.06    ,0.02
19950706    ,0.81   ,-0.21   ,-0.51    ,0.02
19950707    ,1.72   ,-1.09   ,-0.43    ,0.02
19950710    ,0.43    ,0.48    ,0.24    ,0.02
19950711   ,-0.12   ,-0.23   ,-0.18    ,0.02
19950712    ,0.62    ,0.48    ,0.07    ,0.02
19950713    ,0.35    ,0.64   ,-0.18    ,0.02
19950714   ,-0.57    ,0.43   ,-0.09    ,0.02
19950717   ,-0.07   ,-0.08   ,-0.31    ,0.02
19950718   ,-0.29    ,0.48    ,0.13    ,0.02
19950719    ,0.03   ,-0.15   ,-0.10    ,0.02
19950720   ,-0.68    ,0.07   ,-0.25    ,0.02
19950721    ,0.30   ,-0.18    ,0.09    ,0.02
19950724    ,0.70   ,-0.46    ,0.02    ,0.02
19950725   ,-0.86    ,0.45    ,0.25    ,0.02
19950726    ,0.63   ,-0.32   ,-0.20    ,0.02
19950727    ,0.47   ,-0.13   ,-0.12    ,0.02
19950728    ,0.17   ,-0.03   ,-0.17    ,0.02
19950731   ,-0.09   ,-0.04    ,0.01    ,0.02
19950801   ,-0.26    ,0.54    ,0.35    ,0.02
19950802   ,-0.86   ,-0.27    ,0.15    ,0.02
19950803    ,1.08   ,-0.11   ,-0.02    ,0.02
19950804   ,-0.87    ,0.44    ,0.20    ,0.02
19950807   ,-0.46    ,0.06   ,-0.12    ,0.02
19950808    ,0.15   ,-0.31   ,-0.30    ,0.02
19950809   ,-0.08    ,0.14   ,-0.09    ,0.02
19950810   ,-0.92    ,0.25   ,-0.06    ,0.02
19950811   ,-1.11    ,0.31   ,-0.16    ,0.02
19950814    ,0.26    ,0.28   ,-0.07    ,0.02
19950815   ,-1.35   ,-0.25   ,-0.27    ,0.02
19950816    ,1.35   ,-0.77   ,-0.32    ,0.02
19950817    ,0.24    ,0.53    ,0.08    ,0.02
19950818   ,-0.19    ,0.23   ,-0.13    ,0.02
19950821   ,-0.08    ,0.38   ,-0.01    ,0.02
19950822   ,-0.26    ,0.26   ,-0.02    ,0.02
19950823    ,0.00   ,-0.03   ,-0.12    ,0.02
19950824    ,0.29    ,0.10   ,-0.31    ,0.02
19950825   ,-0.05    ,0.35    ,0.11    ,0.02
19950828   ,-0.11    ,0.41   ,-0.36    ,0.02
19950829   ,-0.38   ,-0.04   ,-0.02    ,0.02
19950830   ,-0.49    ,0.33    ,0.21    ,0.02
19950831    ,0.79   ,-0.30   ,-0.30    ,0.02
19950901    ,0.30   ,-0.17   ,-0.08    ,0.02
19950904   ,-0.48   ,-0.13    ,0.28    ,0.02
19950905    ,0.19   ,-0.10   ,-0.03    ,0.02
19950906   ,-0.71    ,0.04    ,0.08    ,0.02
19950907   ,-0.17    ,0.04   ,-0.29    ,0.02
19950908    ,0.88   ,-0.30   ,-0.36    ,0.02
19950911    ,0.31   ,-0.14   ,-0.17    ,0.02
19950912   ,-0.29    ,0.14    ,0.18    ,0.02
19950913   ,-0.31   ,-0.45   ,-0.11    ,0.02
19950914    ,0.50   ,-0.17   ,-0.01    ,0.02
19950915   ,-0.64    ,0.17    ,0.21    ,0.02
19950918   ,-0.35    ,0.46    ,0.06    ,0.02
19950919   ,-0.52   ,-0.19    ,0.06    ,0.02
19950920    ,0.87    ,0.00   ,-0.03    ,0.02
19950921    ,2.06   ,-0.22   ,-0.35    ,0.02
19950922   ,-2.20    ,0.98    ,0.21    ,0.02
19950925   ,-0.51    ,0.04    ,0.07    ,0.02
19950926    ,0.54   ,-0.59   ,-0.02    ,0.02
19950927    ,0.72   ,-0.24   ,-0.60    ,0.02
19950928    ,0.28    ,0.34   ,-0.19    ,0.02
19950929    ,0.11   ,-0.21    ,0.15    ,0.02
19951002   ,-0.51    ,0.33    ,0.18    ,0.02
19951003   ,-0.16   ,-0.51   ,-0.02    ,0.02
19951004    ,0.70   ,-0.38   ,-0.24    ,0.02
19951005    ,0.76   ,-0.25   ,-0.18    ,0.02
19951006   ,-0.27    ,0.03   ,-0.07    ,0.02
19951009   ,-0.53    ,0.59    ,0.20    ,0.02
19951010   ,-0.91    ,0.13    ,0.10    ,0.02
19951011   ,-0.80    ,0.27    ,0.33    ,0.02
19951012    ,0.87   ,-0.36    ,0.00    ,0.02
19951013   ,-0.12   ,-0.22   ,-0.16    ,0.02
19951016    ,0.14    ,0.02   ,-0.17    ,0.02
19951017    ,0.15   ,-0.09    ,0.00    ,0.02
19951018   ,-0.35    ,0.17   ,-0.23    ,0.02
19951019    ,0.51   ,-0.01   ,-0.21    ,0.02
19951020   ,-0.02    ,0.20   ,-0.16    ,0.02
19951023   ,-0.34    ,0.06   ,-0.27    ,0.02
19951024   ,-0.42    ,0.03    ,0.14    ,0.02
19951025   ,-0.19    ,0.03    ,0.16    ,0.02
19951026   ,-0.73    ,0.34    ,0.30    ,0.02
19951027   ,-1.58    ,0.84    ,0.11    ,0.02
19951030    ,0.66   ,-0.73    ,0.17    ,0.02
19951031    ,0.85   ,-0.44   ,-0.01    ,0.02
19951101   ,-0.91    ,0.28    ,0.15    ,0.02
19951102    ,0.53   ,-0.31   ,-0.17    ,0.02
19951103    ,0.21    ,0.05    ,0.05    ,0.02
19951106    ,0.25    ,0.01   ,-0.08    ,0.02
19951107    ,0.12   ,-0.16    ,0.01    ,0.02
19951108   ,-0.13    ,0.14   ,-0.14    ,0.02
19951109    ,0.97   ,-0.16   ,-0.27    ,0.02
19951110   ,-0.59    ,0.25    ,0.04    ,0.02
19951113   ,-0.66    ,0.14    ,0.29    ,0.02
19951114    ,0.31   ,-0.35   ,-0.03    ,0.02
19951115   ,-0.19    ,0.04    ,0.14    ,0.02
19951116    ,0.55   ,-0.77    ,0.03    ,0.02
19951117    ,0.22   ,-0.17   ,-0.18    ,0.02
19951120    ,1.26   ,-0.51   ,-0.27    ,0.02
19951121   ,-0.31   ,-0.04    ,0.37    ,0.02
19951122    ,0.18    ,0.03    ,0.17    ,0.02
19951123   ,-0.14    ,0.06    ,0.05    ,0.02
19951124   ,-0.33   ,-0.11    ,0.12    ,0.02
19951127    ,0.43   ,-0.46   ,-0.25    ,0.02
19951128    ,0.40    ,0.01   ,-0.22    ,0.02
19951129   ,-0.57    ,0.46    ,0.06    ,0.02
19951130    ,0.12    ,0.05   ,-0.31    ,0.02
19951201    ,0.91   ,-0.24   ,-0.19    ,0.02
19951204    ,0.10    ,0.23   ,-0.14    ,0.02
19951205    ,0.39   ,-0.08   ,-0.04    ,0.02
19951206   ,-0.16   ,-0.23    ,0.13    ,0.02
19951207    ,0.61   ,-0.43   ,-0.09    ,0.02
19951208   ,-0.28    ,0.34    ,0.26    ,0.02
19951211    ,0.00    ,0.17   ,-0.04    ,0.02
19951212   ,-0.08   ,-0.09    ,0.18    ,0.02
19951213   ,-0.04    ,0.13   ,-0.12    ,0.02
19951214    ,0.89   ,-0.26    ,0.15    ,0.02
19951215   ,-0.80    ,0.40    ,0.38    ,0.02
19951218    ,0.05    ,0.16    ,0.13    ,0.02
19951219   ,-1.15    ,0.14    ,0.04    ,0.02
19951220    ,1.44   ,-0.60   ,-0.07    ,0.02
19951221    ,0.48   ,-0.37   ,-0.20    ,0.02
19951222    ,0.43   ,-0.26    ,0.19    ,0.02
19951225    ,0.06    ,0.04    ,0.06    ,0.02
19951226    ,0.39    ,0.18    ,0.05    ,0.02
19951227    ,0.25    ,0.13    ,0.17    ,0.02
19951228   ,-0.46    ,0.50    ,0.20    ,0.02
19951229   ,-0.10    ,0.14    ,0.13    ,0.02
19960101    ,0.13    ,0.01    ,0.03    ,0.02
19960102    ,0.18   ,-0.24    ,0.25    ,0.02
19960103    ,0.11   ,-0.13    ,0.21    ,0.02
19960104    ,1.40   ,-0.95    ,0.08    ,0.02
19960105   ,-0.24    ,0.63   ,-0.03    ,0.02
19960108   ,-0.02    ,0.51    ,0.01    ,0.02
19960109    ,0.28    ,0.27    ,0.05    ,0.02
19960110   ,-0.77    ,0.50    ,0.08    ,0.02
19960111   ,-0.70    ,0.42    ,0.12    ,0.02
19960112   ,-0.17    ,0.40    ,0.05    ,0.02
19960115   ,-0.24    ,0.21    ,0.10    ,0.02
19960116   ,-0.10   ,-0.28    ,0.08    ,0.02
19960117    ,0.10   ,-0.10    ,0.00    ,0.02
19960118   ,-0.35   ,-0.41    ,0.18    ,0.02
19960119    ,0.18    ,0.15    ,0.18    ,0.02
19960122   ,-0.43    ,0.41    ,0.10    ,0.02
19960123   ,-0.47    ,0.33   ,-0.18    ,0.02
19960124   ,-0.09   ,-0.32   ,-0.14    ,0.02
19960125    ,0.01    ,0.07   ,-0.08    ,0.02
19960126    ,0.40    ,0.03   ,-0.25    ,0.02
19960129    ,0.20    ,0.43    ,0.04    ,0.02
19960130   ,-0.10    ,0.01    ,0.25    ,0.02
19960131    ,1.00   ,-0.20    ,0.21    ,0.02
19960201    ,0.71    ,0.06   ,-0.04    ,0.02
19960202    ,0.31    ,0.43   ,-0.07    ,0.02
19960205    ,0.01    ,0.62   ,-0.07    ,0.02
19960206    ,0.14   ,-0.15   ,-0.30    ,0.02
19960207   ,-0.13   ,-0.16   ,-0.14    ,0.02
19960208   ,-0.36    ,0.08    ,0.04    ,0.02
19960209   ,-0.25    ,0.09    ,0.06    ,0.02
19960212    ,0.05   ,-0.13   ,-0.12    ,0.02
19960213    ,0.09   ,-0.28    ,0.02    ,0.02
19960214    ,0.50   ,-0.11   ,-0.09    ,0.02
19960215    ,0.08   ,-0.16    ,0.01    ,0.02
19960216    ,0.31   ,-0.13    ,0.07    ,0.02
19960219   ,-0.04    ,0.27    ,0.04    ,0.02
19960220   ,-1.20    ,0.48    ,0.10    ,0.02
19960221    ,0.09   ,-0.05   ,-0.03    ,0.02
19960222    ,0.27   ,-0.10   ,-0.08    ,0.02
19960223    ,0.27    ,0.02    ,0.28    ,0.02
19960226   ,-0.05    ,0.28   ,-0.24    ,0.02
19960227   ,-0.34    ,0.08    ,0.37    ,0.02
19960228   ,-0.37    ,0.02    ,0.31    ,0.02
19960229    ,0.04   ,-0.16   ,-0.15    ,0.02
19960301    ,0.33   ,-0.11    ,0.10    ,0.02
19960304   ,-0.18    ,0.20    ,0.10    ,0.02
19960305    ,0.08    ,0.08    ,0.07    ,0.02
19960306   ,-0.45    ,0.05    ,0.13    ,0.02
19960307   ,-0.32    ,0.15    ,0.28    ,0.02
19960308   ,-0.54    ,0.18    ,0.05    ,0.02
19960311   ,-1.27    ,0.00   ,-0.32    ,0.02
19960312    ,0.74    ,0.06    ,0.03    ,0.02
19960313   ,-0.37    ,0.01   ,-0.06    ,0.02
19960314    ,0.50   ,-0.54   ,-0.19    ,0.02
19960315    ,0.23    ,0.10   ,-0.04    ,0.02
19960318    ,0.41   ,-0.24   ,-0.03    ,0.02
19960319    ,0.73   ,-0.20    ,0.15    ,0.02
19960320   ,-0.16    ,0.14   ,-0.03    ,0.02
19960321    ,0.32   ,-0.39   ,-0.07    ,0.02
19960322    ,0.04    ,0.03    ,0.08    ,0.02
19960325    ,0.55   ,-0.32    ,0.06    ,0.02
19960326   ,-0.07    ,0.25   ,-0.25    ,0.02
19960327    ,0.40   ,-0.11   ,-0.07    ,0.02
19960328    ,0.29    ,0.30   ,-0.12    ,0.02
19960329    ,0.23    ,0.06   ,-0.27    ,0.02
19960401    ,0.23    ,0.00   ,-0.03    ,0.02
19960402    ,0.20    ,0.07    ,0.19    ,0.02
19960403    ,0.10    ,0.35   ,-0.12    ,0.02
19960404    ,0.16    ,0.17   ,-0.04    ,0.02
19960405    ,0.05   ,-0.06   ,-0.16    ,0.02
19960408   ,-0.42    ,0.14    ,0.11    ,0.02
19960409   ,-0.05    ,0.00   ,-0.11    ,0.02
19960410    ,0.31    ,0.05    ,0.18    ,0.02
19960411   ,-0.41    ,0.47   ,-0.02    ,0.02
19960412    ,0.03    ,0.33   ,-0.05    ,0.02
19960415    ,0.49   ,-0.11    ,0.02    ,0.02
19960416    ,0.34   ,-0.02    ,0.09    ,0.02
19960417   ,-0.13    ,0.23    ,0.05    ,0.02
19960418    ,0.70   ,-0.04    ,0.07    ,0.02
19960419   ,-0.08    ,0.01   ,-0.02    ,0.02
19960422    ,0.93   ,-0.25    ,0.07    ,0.02
19960423    ,0.03    ,0.09   ,-0.24    ,0.02
19960424    ,0.34   ,-0.02    ,0.11    ,0.02
19960425   ,-0.35    ,0.33    ,0.13    ,0.02
19960426    ,1.03   ,-0.15   ,-0.16    ,0.02
19960429   ,-0.08    ,0.21    ,0.01    ,0.02
19960430   ,-0.23    ,0.22    ,0.08    ,0.02
19960501   ,-0.67    ,0.61    ,0.13    ,0.02
19960502    ,0.23    ,0.67    ,0.03    ,0.02
19960503   ,-0.51    ,0.20    ,0.07    ,0.02
19960506    ,0.04    ,0.02   ,-0.03    ,0.02
19960507   ,-0.52    ,0.36    ,0.08    ,0.02
19960508    ,0.32   ,-0.01   ,-0.06    ,0.02
19960509   ,-0.20    ,0.16   ,-0.05    ,0.02
19960510   ,-0.53    ,0.30    ,0.19    ,0.02
19960513   ,-0.15    ,0.13    ,0.17    ,0.02
19960514    ,0.10   ,-0.45   ,-0.01    ,0.02
19960515    ,0.56   ,-0.27   ,-0.25    ,0.02
19960516    ,0.22    ,0.25   ,-0.04    ,0.02
19960517   ,-0.25    ,0.21   ,-0.05    ,0.02
19960520    ,0.04    ,0.02   ,-0.11    ,0.02
19960521   ,-0.01   ,-0.15   ,-0.05    ,0.02
19960522   ,-0.43    ,0.21    ,0.19    ,0.02
19960523   ,-0.36    ,0.12    ,0.33    ,0.02
19960524   ,-0.36   ,-0.06    ,0.06    ,0.02
19960527   ,-0.06   ,-0.26    ,0.08    ,0.02
19960528    ,0.12   ,-0.34   ,-0.03    ,0.02
19960529    ,0.77    ,0.06   ,-0.07    ,0.02
19960530   ,-0.33    ,0.27   ,-0.24    ,0.02
19960531    ,0.66   ,-0.33   ,-0.02    ,0.02
19960603   ,-0.88   ,-0.28   ,-0.15    ,0.02
19960604    ,0.18   ,-0.16   ,-0.09    ,0.02
19960605   ,-0.09    ,0.02    ,0.23    ,0.02
19960606   ,-0.11   ,-0.40    ,0.36    ,0.02
19960607   ,-0.96    ,0.25    ,0.09    ,0.02
19960610    ,0.36   ,-0.21    ,0.13    ,0.02
19960611    ,0.05   ,-0.29   ,-0.07    ,0.02
19960612    ,0.77   ,-0.05    ,0.01    ,0.02
19960613    ,0.02    ,0.03    ,0.26    ,0.02
19960614   ,-0.02    ,0.04   ,-0.12    ,0.02
19960617    ,0.12    ,0.23    ,0.03    ,0.02
19960618    ,0.90   ,-0.33    ,0.23    ,0.02
